iter	Passed	Remaining
0	8	865
1	17	835
2	28	914
3	36	885
4	43	830
5	51	807
6	59	791
7	66	767
8	75	768
9	84	759
10	92	746
11	106	777
12	112	751
13	121	746
14	129	732
15	138	725
16	145	712
17	154	702
18	161	688
19	169	676
20	178	670
21	185	659
22	193	648
23	200	635
24	209	627
25	216	615
26	226	611
27	233	600
28	241	592
29	252	589
30	258	574
31	265	563
32	274	557
33	282	548
34	290	540
35	298	530
36	306	522
37	314	512
38	323	505
39	330	495
40	339	488
41	346	479
42	356	472
43	363	463
44	372	454
45	379	445
46	385	434
47	392	425
48	401	418
49	411	411
50	420	403
51	427	394
52	436	387
53	444	378
54	453	370
55	461	362
56	469	354
57	477	345
58	484	336
59	492	328
60	500	319
61	508	311
62	516	303
63	524	294
64	532	286
65	542	279
66	553	272
67	560	263
68	569	255
69	577	247
70	585	239
71	593	230
72	601	222
73	609	214
74	617	205
75	625	197
76	633	189
77	641	180
78	650	172
79	658	164
80	666	156
81	674	148
82	683	140
83	694	132
84	703	124
85	710	115
86	718	107
87	726	99
88	734	90
89	741	82
90	750	74
91	758	65
92	766	57
93	773	49
94	783	41
95	790	32
96	799	24
97	807	16
98	815	8
99	824	0
